purchase_value,device_id,source,browser,age,ip_address,class,country,time_since_signup,purchase_hour,purchase_dayofweek,signup_hour,device_id_freq,ip_address_freq,country_freq,source_freq,browser_freq,device_fraud_rate_train,country_fraud_rate_train,device_id_count_1d,device_id_count_7d,device_id_count_30d,ip_address_count_1d,ip_address_count_7d,ip_address_count_30d,device_id_fraud_count_7d
31.0,34700,2,0,26.0,645554443.4164879,1,172,1.0,0,3,0,8,8,40823,42439,43149,0.5823738461974786,0.1160862853923916,0,0,0,0,0,0,0
31.0,34700,2,0,26.0,645554443.4164879,1,172,1.0,0,3,0,8,8,40823,42439,43149,0.5823738461974786,0.1160862853923916,1,1,1,1,1,1,1
31.0,34700,2,0,26.0,645554443.4164879,1,172,1.0,0,3,0,8,8,40823,42439,43149,0.5823738461974786,0.1160862853923916,2,2,2,2,2,2,2
31.0,34700,2,0,26.0,645554443.4164879,1,172,1.0,0,3,0,8,8,40823,42439,43149,0.5823738461974786,0.1160862853923916,3,3,3,3,3,3,3
31.0,34700,2,0,26.0,645554443.4164879,1,172,1.0,0,3,0,8,8,40823,42439,43149,0.5823738461974786,0.1160862853923916,4,4,4,4,4,4,4
31.0,34700,2,0,26.0,645554443.4164879,1,172,1.0,0,3,0,8,8,40823,42439,43149,0.5823738461974786,0.1160862853923916,5,5,5,5,5,5,5
31.0,34700,2,0,26.0,645554443.4164879,1,172,1.0,0,3,0,8,8,40823,42439,43149,0.5823738461974786,0.1160862853923916,6,6,6,6,6,6,6
19.0,98930,2,2,36.0,210529487.662402,1,172,1.0,1,3,1,14,14,40823,42439,25624,0.714255789503538,0.1160862853923916,0,0,0,0,0,0,0
19.0,98930,2,2,36.0,210529487.662402,1,172,1.0,1,3,1,14,14,40823,42439,25624,0.714255789503538,0.1160862853923916,1,1,1,1,1,1,1
19.0,98930,2,2,36.0,210529487.662402,1,172,1.0,1,3,1,14,14,40823,42439,25624,0.714255789503538,0.1160862853923916,2,2,2,2,2,2,2
19.0,98930,2,2,36.0,210529487.662402,1,172,1.0,1,3,1,14,14,40823,42439,25624,0.714255789503538,0.1160862853923916,3,3,3,3,3,3,3
19.0,98930,2,2,36.0,210529487.662402,1,172,1.0,1,3,1,14,14,40823,42439,25624,0.714255789503538,0.1160862853923916,4,4,4,4,4,4,4
19.0,98930,2,2,36.0,210529487.662402,1,172,1.0,1,3,1,14,14,40823,42439,25624,0.714255789503538,0.1160862853923916,5,5,5,5,5,5,5
19.0,98930,2,2,36.0,210529487.662402,1,172,1.0,1,3,1,14,14,40823,42439,25624,0.714255789503538,0.1160862853923916,6,6,6,6,6,6,6
19.0,98930,2,2,36.0,210529487.662402,1,172,1.0,1,3,1,14,14,40823,42439,25624,0.714255789503538,0.1160862853923916,7,7,7,7,7,7,7
19.0,98930,2,2,36.0,210529487.662402,1,172,1.0,1,3,1,14,14,40823,42439,25624,0.714255789503538,0.1160862853923916,8,8,8,8,8,8,8
19.0,98930,2,2,36.0,210529487.662402,1,172,1.0,1,3,1,14,14,40823,42439,25624,0.714255789503538,0.1160862853923916,9,9,9,9,9,9,9
19.0,98930,2,2,36.0,210529487.662402,1,172,1.0,1,3,1,14,14,40823,42439,25624,0.714255789503538,0.1160862853923916,10,10,10,10,10,10,10
19.0,98930,2,2,36.0,210529487.662402,1,172,1.0,1,3,1,14,14,40823,42439,25624,0.714255789503538,0.1160862853923916,11,11,11,11,11,11,11
19.0,98930,2,2,36.0,210529487.662402,1,172,1.0,1,3,1,14,14,40823,42439,25624,0.714255789503538,0.1160862853923916,12,12,12,12,12,12,12
23.0,125331,1,2,32.0,3456517305.41433,1,172,1.0,1,3,1,9,9,40823,21461,25624,0.6122042857548015,0.1160862853923916,0,0,0,0,0,0,0
23.0,125331,1,2,32.0,3456517305.41433,1,172,1.0,1,3,1,9,9,40823,21461,25624,0.6122042857548015,0.1160862853923916,1,1,1,1,1,1,1
23.0,125331,1,2,32.0,3456517305.41433,1,172,1.0,1,3,1,9,9,40823,21461,25624,0.6122042857548015,0.1160862853923916,2,2,2,2,2,2,2
23.0,125331,1,2,32.0,3456517305.41433,1,172,1.0,1,3,1,9,9,40823,21461,25624,0.6122042857548015,0.1160862853923916,3,3,3,3,3,3,3
23.0,125331,1,2,32.0,3456517305.41433,1,172,1.0,1,3,1,9,9,40823,21461,25624,0.6122042857548015,0.1160862853923916,4,4,4,4,4,4,4
23.0,125331,1,2,32.0,3456517305.41433,1,172,1.0,1,3,1,9,9,40823,21461,25624,0.6122042857548015,0.1160862853923916,5,5,5,5,5,5,5
23.0,125331,1,2,32.0,3456517305.41433,1,172,1.0,1,3,1,9,9,40823,21461,25624,0.6122042857548015,0.1160862853923916,6,6,6,6,6,6,6
23.0,125331,1,2,32.0,3456517305.41433,1,172,1.0,1,3,1,9,9,40823,21461,25624,0.6122042857548015,0.1160862853923916,7,7,7,7,7,7,7
28.0,108866,2,4,22.0,1279271480.4726698,1,32,1.0,2,3,2,12,12,2141,42439,17196,0.6806388235627777,0.1461187604848868,0,0,0,0,0,0,0
28.0,108866,2,4,22.0,1279271480.4726698,1,32,1.0,2,3,2,12,12,2141,42439,17196,0.6806388235627777,0.1461187604848868,1,1,1,1,1,1,1
28.0,108866,2,4,22.0,1279271480.4726698,1,32,1.0,2,3,2,12,12,2141,42439,17196,0.6806388235627777,0.1461187604848868,2,2,2,2,2,2,2
28.0,108866,2,4,22.0,1279271480.4726698,1,32,1.0,2,3,2,12,12,2141,42439,17196,0.6806388235627777,0.1461187604848868,3,3,3,3,3,3,3
28.0,108866,2,4,22.0,1279271480.4726698,1,32,1.0,2,3,2,12,12,2141,42439,17196,0.6806388235627777,0.1461187604848868,4,4,4,4,4,4,4
28.0,108866,2,4,22.0,1279271480.4726698,1,32,1.0,2,3,2,12,12,2141,42439,17196,0.6806388235627777,0.1461187604848868,5,5,5,5,5,5,5
28.0,108866,2,4,22.0,1279271480.4726698,1,32,1.0,2,3,2,12,12,2141,42439,17196,0.6806388235627777,0.1461187604848868,6,6,6,6,6,6,6
28.0,108866,2,4,22.0,1279271480.4726698,1,32,1.0,2,3,2,12,12,2141,42439,17196,0.6806388235627777,0.1461187604848868,7,7,7,7,7,7,7
28.0,108866,2,4,22.0,1279271480.4726698,1,32,1.0,2,3,2,12,12,2141,42439,17196,0.6806388235627777,0.1461187604848868,8,8,8,8,8,8,8
28.0,108866,2,4,22.0,1279271480.4726698,1,32,1.0,2,3,2,12,12,2141,42439,17196,0.6806388235627777,0.1461187604848868,9,9,9,9,9,9,9
28.0,108866,2,4,22.0,1279271480.4726698,1,32,1.0,2,3,2,12,12,2141,42439,17196,0.6806388235627777,0.1461187604848868,10,10,10,10,10,10,10
16.0,60205,0,2,42.0,1644831123.76622,1,172,1.0,2,3,2,13,13,40823,41879,25624,0.6983811111426234,0.1160862853923916,0,0,0,0,0,0,0
16.0,60205,0,2,42.0,1644831123.76622,1,172,1.0,2,3,2,13,13,40823,41879,25624,0.6983811111426234,0.1160862853923916,1,1,1,1,1,1,1
16.0,60205,0,2,42.0,1644831123.76622,1,172,1.0,2,3,2,13,13,40823,41879,25624,0.6983811111426234,0.1160862853923916,2,2,2,2,2,2,2
16.0,60205,0,2,42.0,1644831123.76622,1,172,1.0,2,3,2,13,13,40823,41879,25624,0.6983811111426234,0.1160862853923916,3,3,3,3,3,3,3
16.0,60205,0,2,42.0,1644831123.76622,1,172,1.0,2,3,2,13,13,40823,41879,25624,0.6983811111426234,0.1160862853923916,4,4,4,4,4,4,4
16.0,60205,0,2,42.0,1644831123.76622,1,172,1.0,2,3,2,13,13,40823,41879,25624,0.6983811111426234,0.1160862853923916,5,5,5,5,5,5,5
16.0,60205,0,2,42.0,1644831123.76622,1,172,1.0,2,3,2,13,13,40823,41879,25624,0.6983811111426234,0.1160862853923916,6,6,6,6,6,6,6
16.0,60205,0,2,42.0,1644831123.76622,1,172,1.0,2,3,2,13,13,40823,41879,25624,0.6983811111426234,0.1160862853923916,7,7,7,7,7,7,7
16.0,60205,0,2,42.0,1644831123.76622,1,172,1.0,2,3,2,13,13,40823,41879,25624,0.6983811111426234,0.1160862853923916,8,8,8,8,8,8,8
16.0,60205,0,2,42.0,1644831123.76622,1,172,1.0,2,3,2,13,13,40823,41879,25624,0.6983811111426234,0.1160862853923916,9,9,9,9,9,9,9
16.0,60205,0,2,42.0,1644831123.76622,1,172,1.0,2,3,2,13,13,40823,41879,25624,0.6983811111426234,0.1160862853923916,10,10,10,10,10,10,10
16.0,60205,0,2,42.0,1644831123.76622,1,172,1.0,2,3,2,13,13,40823,41879,25624,0.6983811111426234,0.1160862853923916,11,11,11,11,11,11,11
19.0,51799,0,2,37.0,2296766383.6316,1,172,1.0,3,3,3,11,11,40823,41879,25624,0.6606787500354513,0.1160862853923916,0,0,0,0,0,0,0
19.0,51799,0,2,37.0,2296766383.6316,1,172,1.0,3,3,3,11,11,40823,41879,25624,0.6606787500354513,0.1160862853923916,1,1,1,1,1,1,1
19.0,51799,0,2,37.0,2296766383.6316,1,172,1.0,3,3,3,11,11,40823,41879,25624,0.6606787500354513,0.1160862853923916,2,2,2,2,2,2,2
19.0,51799,0,2,37.0,2296766383.6316,1,172,1.0,3,3,3,11,11,40823,41879,25624,0.6606787500354513,0.1160862853923916,3,3,3,3,3,3,3
19.0,51799,0,2,37.0,2296766383.6316,1,172,1.0,3,3,3,11,11,40823,41879,25624,0.6606787500354513,0.1160862853923916,4,4,4,4,4,4,4
19.0,51799,0,2,37.0,2296766383.6316,1,172,1.0,3,3,3,11,11,40823,41879,25624,0.6606787500354513,0.1160862853923916,5,5,5,5,5,5,5
19.0,51799,0,2,37.0,2296766383.6316,1,172,1.0,3,3,3,11,11,40823,41879,25624,0.6606787500354513,0.1160862853923916,6,6,6,6,6,6,6
19.0,51799,0,2,37.0,2296766383.6316,1,172,1.0,3,3,3,11,11,40823,41879,25624,0.6606787500354513,0.1160862853923916,7,7,7,7,7,7,7
19.0,51799,0,2,37.0,2296766383.6316,1,172,1.0,3,3,3,11,11,40823,41879,25624,0.6606787500354513,0.1160862853923916,8,8,8,8,8,8,8
19.0,51799,0,2,37.0,2296766383.6316,1,172,1.0,3,3,3,11,11,40823,41879,25624,0.6606787500354513,0.1160862853923916,9,9,9,9,9,9,9
16.0,70957,0,4,27.0,3988528566.1792297,1,167,1.0,3,3,3,8,8,15338,41879,17196,0.5823738461974786,0.1050362288992092,0,0,0,0,0,0,0
16.0,70957,0,4,27.0,3988528566.1792297,1,167,1.0,3,3,3,8,8,15338,41879,17196,0.5823738461974786,0.1050362288992092,1,1,1,1,1,1,1
16.0,70957,0,4,27.0,3988528566.1792297,1,167,1.0,3,3,3,8,8,15338,41879,17196,0.5823738461974786,0.1050362288992092,2,2,2,2,2,2,2
16.0,70957,0,4,27.0,3988528566.1792297,1,167,1.0,3,3,3,8,8,15338,41879,17196,0.5823738461974786,0.1050362288992092,3,3,3,3,3,3,3
16.0,70957,0,4,27.0,3988528566.1792297,1,167,1.0,3,3,3,8,8,15338,41879,17196,0.5823738461974786,0.1050362288992092,4,4,4,4,4,4,4
16.0,70957,0,4,27.0,3988528566.1792297,1,167,1.0,3,3,3,8,8,15338,41879,17196,0.5823738461974786,0.1050362288992092,5,5,5,5,5,5,5
16.0,70957,0,4,27.0,3988528566.1792297,1,167,1.0,3,3,3,8,8,15338,41879,17196,0.5823738461974786,0.1050362288992092,6,6,6,6,6,6,6
20.0,7513,1,0,35.0,3995823223.8616295,1,167,1.0,4,3,4,14,14,15338,21461,43149,0.714255789503538,0.1050362288992092,0,0,0,0,0,0,0
20.0,7513,1,0,35.0,3995823223.8616295,1,167,1.0,4,3,4,14,14,15338,21461,43149,0.714255789503538,0.1050362288992092,1,1,1,1,1,1,1
20.0,7513,1,0,35.0,3995823223.8616295,1,167,1.0,4,3,4,14,14,15338,21461,43149,0.714255789503538,0.1050362288992092,2,2,2,2,2,2,2
20.0,7513,1,0,35.0,3995823223.8616295,1,167,1.0,4,3,4,14,14,15338,21461,43149,0.714255789503538,0.1050362288992092,3,3,3,3,3,3,3
20.0,7513,1,0,35.0,3995823223.8616295,1,167,1.0,4,3,4,14,14,15338,21461,43149,0.714255789503538,0.1050362288992092,4,4,4,4,4,4,4
20.0,7513,1,0,35.0,3995823223.8616295,1,167,1.0,4,3,4,14,14,15338,21461,43149,0.714255789503538,0.1050362288992092,5,5,5,5,5,5,5
20.0,7513,1,0,35.0,3995823223.8616295,1,167,1.0,4,3,4,14,14,15338,21461,43149,0.714255789503538,0.1050362288992092,6,6,6,6,6,6,6
20.0,7513,1,0,35.0,3995823223.8616295,1,167,1.0,4,3,4,14,14,15338,21461,43149,0.714255789503538,0.1050362288992092,7,7,7,7,7,7,7
20.0,7513,1,0,35.0,3995823223.8616295,1,167,1.0,4,3,4,14,14,15338,21461,43149,0.714255789503538,0.1050362288992092,8,8,8,8,8,8,8
20.0,7513,1,0,35.0,3995823223.8616295,1,167,1.0,4,3,4,14,14,15338,21461,43149,0.714255789503538,0.1050362288992092,9,9,9,9,9,9,9
20.0,7513,1,0,35.0,3995823223.8616295,1,167,1.0,4,3,4,14,14,15338,21461,43149,0.714255789503538,0.1050362288992092,10,10,10,10,10,10,10
20.0,7513,1,0,35.0,3995823223.8616295,1,167,1.0,4,3,4,14,14,15338,21461,43149,0.714255789503538,0.1050362288992092,11,11,11,11,11,11,11
20.0,7513,1,0,35.0,3995823223.8616295,1,167,1.0,4,3,4,14,14,15338,21461,43149,0.714255789503538,0.1050362288992092,12,12,12,12,12,12,12
57.0,3,0,1,36.0,1377849233.09361,1,171,1.0,4,3,4,11,11,3114,41879,17231,0.6606787500354513,0.1319560307792777,0,0,0,0,0,0,0
57.0,3,0,1,36.0,1377849233.09361,1,171,1.0,4,3,4,11,11,3114,41879,17231,0.6606787500354513,0.1319560307792777,1,1,1,1,1,1,1
57.0,3,0,1,36.0,1377849233.09361,1,171,1.0,4,3,4,11,11,3114,41879,17231,0.6606787500354513,0.1319560307792777,2,2,2,2,2,2,2
57.0,3,0,1,36.0,1377849233.09361,1,171,1.0,4,3,4,11,11,3114,41879,17231,0.6606787500354513,0.1319560307792777,3,3,3,3,3,3,3
57.0,3,0,1,36.0,1377849233.09361,1,171,1.0,4,3,4,11,11,3114,41879,17231,0.6606787500354513,0.1319560307792777,4,4,4,4,4,4,4
57.0,3,0,1,36.0,1377849233.09361,1,171,1.0,4,3,4,11,11,3114,41879,17231,0.6606787500354513,0.1319560307792777,5,5,5,5,5,5,5
57.0,3,0,1,36.0,1377849233.09361,1,171,1.0,4,3,4,11,11,3114,41879,17231,0.6606787500354513,0.1319560307792777,6,6,6,6,6,6,6
57.0,3,0,1,36.0,1377849233.09361,1,171,1.0,4,3,4,11,11,3114,41879,17231,0.6606787500354513,0.1319560307792777,7,7,7,7,7,7,7
57.0,3,0,1,36.0,1377849233.09361,1,171,1.0,4,3,4,11,11,3114,41879,17231,0.6606787500354513,0.1319560307792777,8,8,8,8,8,8,8
57.0,3,0,1,36.0,1377849233.09361,1,171,1.0,4,3,4,11,11,3114,41879,17231,0.6606787500354513,0.1319560307792777,9,9,9,9,9,9,9
76.0,121550,1,4,21.0,1874205904.13132,1,36,1.0,4,3,4,8,8,8334,21461,17196,0.5823738461974786,0.1040377575249511,0,0,0,0,0,0,0
76.0,121550,1,4,21.0,1874205904.13132,1,36,1.0,4,3,4,8,8,8334,21461,17196,0.5823738461974786,0.1040377575249511,1,1,1,1,1,1,1
76.0,121550,1,4,21.0,1874205904.13132,1,36,1.0,4,3,4,8,8,8334,21461,17196,0.5823738461974786,0.1040377575249511,2,2,2,2,2,2,2
76.0,121550,1,4,21.0,1874205904.13132,1,36,1.0,4,3,4,8,8,8334,21461,17196,0.5823738461974786,0.1040377575249511,3,3,3,3,3,3,3
76.0,121550,1,4,21.0,1874205904.13132,1,36,1.0,4,3,4,8,8,8334,21461,17196,0.5823738461974786,0.1040377575249511,4,4,4,4,4,4,4
76.0,121550,1,4,21.0,1874205904.13132,1,36,1.0,4,3,4,8,8,8334,21461,17196,0.5823738461974786,0.1040377575249511,5,5,5,5,5,5,5
76.0,121550,1,4,21.0,1874205904.13132,1,36,1.0,4,3,4,8,8,8334,21461,17196,0.5823738461974786,0.1040377575249511,6,6,6,6,6,6,6
12.0,99846,0,1,45.0,1588150803.9765198,1,171,1.0,4,3,4,13,13,3114,41879,17231,0.6983811111426234,0.1319560307792777,0,0,0,0,0,0,0
12.0,99846,0,1,45.0,1588150803.9765198,1,171,1.0,4,3,4,13,13,3114,41879,17231,0.6983811111426234,0.1319560307792777,1,1,1,1,1,1,1
12.0,99846,0,1,45.0,1588150803.9765198,1,171,1.0,4,3,4,13,13,3114,41879,17231,0.6983811111426234,0.1319560307792777,2,2,2,2,2,2,2
12.0,99846,0,1,45.0,1588150803.9765198,1,171,1.0,4,3,4,13,13,3114,41879,17231,0.6983811111426234,0.1319560307792777,3,3,3,3,3,3,3
12.0,99846,0,1,45.0,1588150803.9765198,1,171,1.0,4,3,4,13,13,3114,41879,17231,0.6983811111426234,0.1319560307792777,4,4,4,4,4,4,4
12.0,99846,0,1,45.0,1588150803.9765198,1,171,1.0,4,3,4,13,13,3114,41879,17231,0.6983811111426234,0.1319560307792777,5,5,5,5,5,5,5
12.0,99846,0,1,45.0,1588150803.9765198,1,171,1.0,4,3,4,13,13,3114,41879,17231,0.6983811111426234,0.1319560307792777,6,6,6,6,6,6,6
12.0,99846,0,1,45.0,1588150803.9765198,1,171,1.0,4,3,4,13,13,3114,41879,17231,0.6983811111426234,0.1319560307792777,7,7,7,7,7,7,7
12.0,99846,0,1,45.0,1588150803.9765198,1,171,1.0,4,3,4,13,13,3114,41879,17231,0.6983811111426234,0.1319560307792777,8,8,8,8,8,8,8
12.0,99846,0,1,45.0,1588150803.9765198,1,171,1.0,4,3,4,13,13,3114,41879,17231,0.6983811111426234,0.1319560307792777,9,9,9,9,9,9,9
12.0,99846,0,1,45.0,1588150803.9765198,1,171,1.0,4,3,4,13,13,3114,41879,17231,0.6983811111426234,0.1319560307792777,10,10,10,10,10,10,10
12.0,99846,0,1,45.0,1588150803.9765198,1,171,1.0,4,3,4,13,13,3114,41879,17231,0.6983811111426234,0.1319560307792777,11,11,11,11,11,11,11
51.0,5458,0,0,29.0,3370394938.3017697,1,24,1.0,5,3,5,12,12,2068,41879,43149,0.6806388235627777,0.1112256922337516,0,0,0,0,0,0,0
51.0,5458,0,0,29.0,3370394938.3017697,1,24,1.0,5,3,5,12,12,2068,41879,43149,0.6806388235627777,0.1112256922337516,1,1,1,1,1,1,1
51.0,5458,0,0,29.0,3370394938.3017697,1,24,1.0,5,3,5,12,12,2068,41879,43149,0.6806388235627777,0.1112256922337516,2,2,2,2,2,2,2
51.0,5458,0,0,29.0,3370394938.3017697,1,24,1.0,5,3,5,12,12,2068,41879,43149,0.6806388235627777,0.1112256922337516,3,3,3,3,3,3,3
51.0,5458,0,0,29.0,3370394938.3017697,1,24,1.0,5,3,5,12,12,2068,41879,43149,0.6806388235627777,0.1112256922337516,4,4,4,4,4,4,4
51.0,5458,0,0,29.0,3370394938.3017697,1,24,1.0,5,3,5,12,12,2068,41879,43149,0.6806388235627777,0.1112256922337516,5,5,5,5,5,5,5
51.0,5458,0,0,29.0,3370394938.3017697,1,24,1.0,5,3,5,12,12,2068,41879,43149,0.6806388235627777,0.1112256922337516,6,6,6,6,6,6,6
51.0,5458,0,0,29.0,3370394938.3017697,1,24,1.0,5,3,5,12,12,2068,41879,43149,0.6806388235627777,0.1112256922337516,7,7,7,7,7,7,7
51.0,5458,0,0,29.0,3370394938.3017697,1,24,1.0,5,3,5,12,12,2068,41879,43149,0.6806388235627777,0.1112256922337516,8,8,8,8,8,8,8
51.0,5458,0,0,29.0,3370394938.3017697,1,24,1.0,5,3,5,12,12,2068,41879,43149,0.6806388235627777,0.1112256922337516,9,9,9,9,9,9,9
51.0,5458,0,0,29.0,3370394938.3017697,1,24,1.0,5,3,5,12,12,2068,41879,43149,0.6806388235627777,0.1112256922337516,10,10,10,10,10,10,10
14.0,95745,2,0,48.0,3394336861.60863,1,7,1.0,5,3,5,7,7,1271,42439,43149,0.5475716667139351,0.1133000470223881,0,0,0,0,0,0,0
14.0,95745,2,0,48.0,3394336861.60863,1,7,1.0,5,3,5,7,7,1271,42439,43149,0.5475716667139351,0.1133000470223881,1,1,1,1,1,1,1
14.0,95745,2,0,48.0,3394336861.60863,1,7,1.0,5,3,5,7,7,1271,42439,43149,0.5475716667139351,0.1133000470223881,2,2,2,2,2,2,2
14.0,95745,2,0,48.0,3394336861.60863,1,7,1.0,5,3,5,7,7,1271,42439,43149,0.5475716667139351,0.1133000470223881,3,3,3,3,3,3,3
14.0,95745,2,0,48.0,3394336861.60863,1,7,1.0,5,3,5,7,7,1271,42439,43149,0.5475716667139351,0.1133000470223881,4,4,4,4,4,4,4
14.0,95745,2,0,48.0,3394336861.60863,1,7,1.0,5,3,5,7,7,1271,42439,43149,0.5475716667139351,0.1133000470223881,5,5,5,5,5,5,5
33.0,119961,0,0,32.0,2731235387.62152,1,172,1.0,5,3,5,8,8,40823,41879,43149,0.5823738461974786,0.1160862853923916,0,0,0,0,0,0,0
33.0,119961,0,0,32.0,2731235387.62152,1,172,1.0,5,3,5,8,8,40823,41879,43149,0.5823738461974786,0.1160862853923916,1,1,1,1,1,1,1
33.0,119961,0,0,32.0,2731235387.62152,1,172,1.0,5,3,5,8,8,40823,41879,43149,0.5823738461974786,0.1160862853923916,2,2,2,2,2,2,2
33.0,119961,0,0,32.0,2731235387.62152,1,172,1.0,5,3,5,8,8,40823,41879,43149,0.5823738461974786,0.1160862853923916,3,3,3,3,3,3,3
33.0,119961,0,0,32.0,2731235387.62152,1,172,1.0,5,3,5,8,8,40823,41879,43149,0.5823738461974786,0.1160862853923916,4,4,4,4,4,4,4
33.0,119961,0,0,32.0,2731235387.62152,1,172,1.0,5,3,5,8,8,40823,41879,43149,0.5823738461974786,0.1160862853923916,5,5,5,5,5,5,5
33.0,119961,0,0,32.0,2731235387.62152,1,172,1.0,5,3,5,8,8,40823,41879,43149,0.5823738461974786,0.1160862853923916,6,6,6,6,6,6,6
27.0,21984,1,2,31.0,1559028295.3109,1,171,1.0,6,3,6,8,8,3114,21461,25624,0.5823738461974786,0.1319560307792777,0,0,0,0,0,0,0
27.0,21984,1,2,31.0,1559028295.3109,1,171,1.0,6,3,6,8,8,3114,21461,25624,0.5823738461974786,0.1319560307792777,1,1,1,1,1,1,1
27.0,21984,1,2,31.0,1559028295.3109,1,171,1.0,6,3,6,8,8,3114,21461,25624,0.5823738461974786,0.1319560307792777,2,2,2,2,2,2,2
27.0,21984,1,2,31.0,1559028295.3109,1,171,1.0,6,3,6,8,8,3114,21461,25624,0.5823738461974786,0.1319560307792777,3,3,3,3,3,3,3
27.0,21984,1,2,31.0,1559028295.3109,1,171,1.0,6,3,6,8,8,3114,21461,25624,0.5823738461974786,0.1319560307792777,4,4,4,4,4,4,4
27.0,21984,1,2,31.0,1559028295.3109,1,171,1.0,6,3,6,8,8,3114,21461,25624,0.5823738461974786,0.1319560307792777,5,5,5,5,5,5,5
27.0,21984,1,2,31.0,1559028295.3109,1,171,1.0,6,3,6,8,8,3114,21461,25624,0.5823738461974786,0.1319560307792777,6,6,6,6,6,6,6
61.0,136173,1,2,24.0,3003295708.72567,1,35,1.0,7,3,7,13,13,309,21461,25624,0.6983811111426234,0.1929008280272841,0,0,0,0,0,0,0
61.0,136173,1,2,24.0,3003295708.72567,1,35,1.0,7,3,7,13,13,309,21461,25624,0.6983811111426234,0.1929008280272841,1,1,1,1,1,1,1
61.0,136173,1,2,24.0,3003295708.72567,1,35,1.0,7,3,7,13,13,309,21461,25624,0.6983811111426234,0.1929008280272841,2,2,2,2,2,2,2
61.0,136173,1,2,24.0,3003295708.72567,1,35,1.0,7,3,7,13,13,309,21461,25624,0.6983811111426234,0.1929008280272841,3,3,3,3,3,3,3
61.0,136173,1,2,24.0,3003295708.72567,1,35,1.0,7,3,7,13,13,309,21461,25624,0.6983811111426234,0.1929008280272841,4,4,4,4,4,4,4
61.0,136173,1,2,24.0,3003295708.72567,1,35,1.0,7,3,7,13,13,309,21461,25624,0.6983811111426234,0.1929008280272841,5,5,5,5,5,5,5
